Simulation,Restime,Current
a_mos5,0.55125,2.292567774
a_mos2,0.465,2.472930762
a_mos1225,0.9759375,2.69053251
a_mos68,0.095,1.645815726
a_mos8,0.228333333,1.553692641
a_mos30,2.125,2.007570978
a_mos1210,1.54125,2.041145209
a_mos1231,1.7525,1.546365393
a_mos38,1.5034375,2.067279878
a_mos1215,0.76375,3.378203405
a_mos9,0.4255,1.350921786
a_mos51,3.045714286,1.719906224
a_mos1201,1.750666667,1.546438852
a_mos3,0.09,2.452369846
a_mos60,0.76,2.980716657
a_mos1217,1.480666667,2.293733332
a_mos36,1.295625,1.836661697
a_mos61,0.178333333,1.983645012
a_mos1204,0.7084375,3.092189957
a_mos1218,1.491875,1.936188725
a_mos23,0.7725,3.350458042
a_mos1240,1.412916667,1.872302206
a_mos1237,2.435,1.724659477
a_mos1216,0.657333333,3.034031194
a_mos47,1.26375,2.290897793
a_mos1209,2.971666667,0.976809044
a_mos1220,1.3375,2.380396826
a_mos1206,0.871666667,1.472509965
a_mos1230,0.785625,3.001895339
a_mos1203,1.1075,2.065419415
a_mos1238,1.07625,2.737599975
a_mos1236,2.09875,1.55503104
a_mos1235,1.179666667,2.710444235
a_mos21,2.294090909,1.791866314
a_mos1214,1.3578125,2.077497892
a_mos1222,1.0696875,2.37765244
a_mos31,0.5625,3.639326252
a_mos102,1.37625,2.150499501
a_mos42,1.3040625,1.875059746
a_mos26,0.924666667,2.558539073
a_mos7,0.754166667,0.188694569
a_mos24,1.335,1.77971028
a_mos1211,0.88125,2.817874602
a_mos44,1.5671875,1.7624956
a_mos4,0.216428571,0.482675076
a_mos1226,0.943666667,3.179482099
a_mos29,1.1578125,2.476193393
a_mos1228,2.174615385,1.05034428
a_mos1205,0.810625,3.224393919
a_mos105,1.226875,2.114416649
a_mos1232,1.09375,2.841567819
a_mos1208,1.133666667,2.402193537
a_mos1202,1.771923077,1.352126385
a_mos27,1.49375,1.993144879
a_mos1207,1.6878125,1.853340975
a_mos50,1.1121875,2.585378173
a_mos35,1.842,1.67731142
a_mos1213,1.039666667,2.089378931
a_mos6,0.5325,0.025488923
a_mos28,2.612727273,1.442481896
a_mos1227,1.0940625,2.473723579
a_mos53,0.695,4.02264461
a_mos1239,0.8246875,3.099285392
a_mos1219,1.216875,2.35834746
a_mos1234,1.4503125,2.410080449
a_mos1223,0.42,1.628240625
a_mos1221,1.040666667,2.4729389
a_mos70,0.275,2.534910205
a_mos1224,1.271,2.070906634
a_mos25,1.3040625,2.186858602
a_mos37,1.2203125,2.613425695
a_mos1,0.434285714,1.780827232
a_mos56,1.3953125,2.080429806
