Simulation,Restime,Current
c_gra1,0.5228125,5.367355754
c_gra2,1.683125,3.096907325
c_gra3,0.5015625,5.699247653
c_gra4,0.588125,5.396985311
c_gra6,1.0495,2.962862426
c_gra8,0.751875,4.807668751
c_gra9,0.8490625,4.308024115
c_gra10,0.831875,4.331142443
c_gra11,0.429375,5.320413213
c_gra12,0.538125,5.238801006
c_gra13,0.5628125,5.14656647
c_gra14,2.190714286,3.484140042
c_gra15,0.6009375,4.839719156
c_gra16,0.364375,5.774092208
c_gra17,0.8228125,4.192755572
c_gra18,0.618125,5.101521034
c_gra19,0.3103125,5.723323439
c_gra20,0.3509375,5.572774673
c_gra21,0.7971875,5.133377507
c_gra22,0.7196875,5.02334949
c_gra23,0.53875,5.223101164
c_gra24,0.5578125,5.216605184
c_gra25,0.820625,4.864618211
c_gra26,0.7584375,4.595200411
c_gra27,0.8903125,3.84609094
c_gra28,0.229375,6.208821409
c_gra29,0.591875,4.874379665
c_gra33,0.35,2.300677503
c_gra34,0.2575,3.933292896
c_gra35,0.255,5.138600472
c_gra36,0.476,2.547893335
c_gra37,0.2775,2.31729408
c_gra39,0.8753125,4.525469686
c_gra40,0.397,2.811075569
c_gra43,0.153333333,6.258361427
c_gra45,0.168,6.149154595
c_gra46,0.24875,3.751024454
c_gra48,0.25875,2.074702759
c_gra51,0.31125,4.125460864
c_gra52,0.3925,4.665200999
c_gra53,0.9609375,4.425906839
c_gra54,0.351875,5.73886787
c_gra56,0.195,2.839138693
c_gra57,0.26,4.210855102
c_gra58,0.263571429,4.370550113
c_gra59,0.335714286,3.665937025
c_gra70,0.5184375,4.910600274
c_gra71,0.296875,6.000517655
c_gra74,0.7575,5.123789653
c_gra75,1.833076923,2.875910754
c_gra76,0.6334375,4.827818093
c_gra77,1.068181818,3.234841354
c_gra78,1.17,3.41576884
c_gra79,0.4503125,5.399341726
c_gra82,0.651875,4.825843658
c_gra83,0.293125,6.135209535
c_gra84,0.851875,4.544230463
c_gra85,0.7565625,4.358848302
c_gra86,0.6909375,4.915052273
c_gra87,1.2228125,4.006684256
c_gra90,0.965625,4.628946078
c_gra91,1.116875,3.813070233
c_gra93,0.3921875,5.42300871
c_gra94,0.753125,5.041257876
c_gra95,0.825,4.221384596
c_gra96,0.9103125,4.517977647
c_gra97,0.65,3.572308943
c_gra98,0.696875,4.413181184
c_gra99,1.424375,3.237187148
