Simulation,Restime,Current
c_mos1246,1.049333333,3.112951763
c_mos1188,2.499,1.599066719
c_mos1259,1.27,2.606305414
c_mos1217,0.376666667,4.247276301
c_mos1258,0.774666667,3.446066282
c_mos1184,0.9796875,2.737566569
c_mos1187,0.35125,3.693431729
c_mos67,0.9146875,2.967848696
c_mos1199,0.595666667,3.769843917
c_mos1249,0.4778125,3.651612564
c_mos1191,0.441666667,3.851487444
c_mos1196,0.4690625,3.838466981
c_mos1243,0.576,3.407417694
c_mos1254,0.452,3.902914319
c_mos1209,0.571666667,3.564084015
c_mos1215,0.5315625,3.86306471
c_mos1220,0.225,2.186530009
c_mos62,0.3884375,3.637712492
c_mos1207,1.4528125,2.742668709
c_mos70,0.7675,3.112054914
c_mos25,0.63375,3.741908201
c_mos1242,0.535666667,3.964655337
c_mos1257,1.178125,2.941191998
c_mos1250,0.479375,3.516961059
c_mos1205,0.355,3.598789442
c_mos1218,0.7603125,3.46795426
c_mos103,0.5146875,3.320325011
c_mos1194,0.4090625,3.781086008
c_mos1016,1.0196875,2.980896603
c_mos1216,0.1221875,3.996629123
c_mos1,0.436153846,1.057303758
c_mos1244,0.7890625,2.991687292
c_mos1181,0.3471875,3.512350723
c_mos1256,0.5046875,3.965835253
c_mos1202,1.0984375,2.306061854
c_mos1247,0.4059375,3.636997118
c_mos9,0.115,2.719340515
c_mos1214,0.476333333,3.838495126
c_mos1190,0.669375,4.140271364
c_mos1193,0.878,2.522226708
c_mos1013,0.416875,3.89211188
c_mos69,0.005,4.212974507
c_mos1245,1.1665625,2.806156385
c_mos1241,0.616875,3.366466695
c_mos1197,1.27125,2.832498508
c_mos1213,1.0990625,2.947052459
c_mos1252,0.5234375,3.730450032
c_mos61,1.610625,1.919163363
c_mos21,0.6684375,3.431300783
c_mos1200,0.544333333,3.109948582
c_mos1186,0.556,3.893605301
c_mos1212,0.6790625,3.275553391
c_mos72,0.2771875,4.066518341
c_mos1198,0.0990625,3.220824968
c_mos1210,0.3396875,4.121728259
c_mos1248,0.6425,3.355741354
c_mos7,0.489375,1.845044086
c_mos66,0.25875,3.902997774
c_mos24,1.338125,3.020137462
c_mos23,0.565625,3.464318387
c_mos73,0.331875,3.448296836
c_mos1192,0.6021875,3.356502427
c_mos1182,0.6903125,2.944822587
c_mos101,0.9028125,3.276281034
c_mos1189,0.281333333,4.279568108
c_mos1195,0.5803125,3.561814905
c_mos1255,0.81375,3.54781487
c_mos1185,0.8703125,3.035344564
c_mos68,0.3165625,4.085012122
c_mos1251,0.646875,3.305555618
c_mos1201,0.5165625,3.808688788
c_mos1203,0.4228125,3.75473221
c_mos1183,0.3190625,3.703227557
c_mos1206,0.304,4.117669373
c_mos27,0.441875,3.375952858
c_mos45,0.490625,3.430406806
c_mos74,0.9471875,2.591436694
c_mos1208,1.683,2.525838973
c_mos75,0.3178125,3.506090139
c_mos1219,0.385625,3.15509978
c_mos1204,0.574333333,3.683637934
c_mos65,0.3353125,3.578679579
c_mos1253,1.684375,1.963126669
c_mos1260,0.532,3.533279999
c_mos63,1.6246875,2.430595901
