Simulation,Restime,Current
g_gra1,0.810909091,3.367713498
g_gra2,0.9653125,3.635146609
g_gra7,2.639,3.182989002
g_gra9,0.4375,5.128459927
g_gra11,0.5709375,5.057362149
g_gra12,2.422727273,2.305042797
g_gra13,1.272,3.458502365
g_gra14,0.7625,3.963423856
g_gra16,1.2946875,3.105688628
g_gra18,2.147272727,3.038443656
g_gra20,0.854375,4.165449002
g_gra22,2.175833333,2.238324786
g_gra25,1.1671875,3.311519439
g_gra26,0.7225,2.246798954
g_gra27,0.8534375,4.119360389
g_gra28,0.6978125,4.853823716
g_gra29,0.536875,4.985962311
g_gra31,2.889166667,3.059277417
g_gra33,0.87625,3.691094547
g_gra34,0.656,3.533427018
g_gra37,1.4678125,3.081529327
g_gra38,0.585625,5.435631291
g_gra39,1.1075,2.819162176
g_gra40,1.3078125,3.110682057
g_gra41,1.0171875,4.045884494
g_gra42,0.92375,3.131315562
g_gra43,0.2615625,5.432679021
g_gra45,1.776666667,2.859215955
g_gra47,1.035,2.670464245
g_gra48,2.5175,3.235815886
g_gra51,0.485,4.390313656
g_gra53,0.798571429,3.073788286
g_gra54,1.1305,1.934396373
g_gra55,2.79,3.970098231
g_gra58,4.345714286,2.330256009
g_gra60,1.215625,3.123550416
g_gra61,2.200909091,2.044426698
g_gra63,1.204090909,2.795269765
g_gra64,0.8525,4.019508542
g_gra93,1.397,3.077375276
g_gra94,1.4325,2.929144981
