Simulation,Restime,Current
G_10ns_4,0.6703125,3.234780853
G_10ns_5,1.7625,1.944284919
G_10ns_8,0.4178125,3.986012987
G_10ns_9,0.653125,3.77243164
G_10ns_10,0.30875,3.984554196
G_10ns_11,0.4984375,3.621659566
G_10ns_13,0.5428125,3.81864846
G_10ns_14,0.59375,3.519581228
G_10ns_15,0.3146875,3.595130381
G_10ns_18,1.6446875,1.920679983
G_10ns_19,1.1340625,2.699581035
G_10ns_21,0.7646875,3.40015472
G_10ns_25,0.96125,2.38020981
G_10ns_27,0.62875,3.33563731
G_10ns_30,0.702692308,1.701705785
G_10ns_31,1.573125,2.209598834
G_10ns_34,1.60875,1.999933304
G_10ns_35,1.4721875,2.820089461
G_10ns_36,0.6403125,3.578005359
G_10ns_38,1.08875,2.693003865
G_10ns_40,0.308125,4.275159222
G_10ns_41,0.8646875,2.832970808
G_10ns_42,0.7225,3.309849045
G_10ns_44,0.525,3.664145674
G_10ns_45,1.0684375,3.713142752
G_10ns_46,0.5365625,3.774878937
G_10ns_47,0.443125,3.831332928
G_10ns_48,0.4153125,4.20751024
G_10ns_49,1.6565625,2.050846526
G_10ns_51,0.276666667,3.381145606
G_10ns_92,0.331875,4.177024079
G_10ns_93,1.422692308,1.599739646
G_10ns_95,0.94875,3.469677645
G_10ns_97,0.9996875,3.19098411
G_10ns_100,0.4653125,3.777800495
G_10ns_104,0.93,1.949297376
G_10ns_105,1.03,2.027001994
G_10ns_106,0.3540625,1.901665006
G_10ns_107,0.6490625,2.253589527
G_10ns_109,1.431428571,1.808390999
G_10ns_113,0.69375,2.370981681
G_10ns_115,1.993333333,2.044304066
G_10ns_118,0.980625,1.736669997
G_10ns_120,0.6746875,2.427950823
G_10ns_121,0.508333333,1.783419078
G_10ns_123,0.984545455,1.754690042
G_10ns_126,0.821666667,3.044966498
G_10ns_129,0.73,1.679806478
G_10ns_133,0.4046875,0.838477046
G_10ns_134,0.85625,1.540428003
G_10ns_137,0.985,2.16789648
G_10ns_138,1.076875,1.262027519
