Sim Num,Restime,Current
1,1.415,1.153
2,1.785,1.017
3,0.173,1.46
4,5.685,0.809
5,1.982,0.912
6,1.461,0.599
7,2.813,0.876
8,1.302,1.317
9,3.169,0.625
10,2.024,1.075
11,1.672,1.17
12,4.758,0.773
13,2.35,0.762
14,0.9,0.365
15,1.044,1.067
16,7.123,1.267
17,0.163,1.921
18,0.607,2.399
19,1.219,0.465
20,3.221,0.728
21,3.477,1.103
22,2.697,1.266
23,3.672,0.205
24,0.967,0.908
25,4.578,0.639
26,6.153,0.993
27,3.317,1.295
28,1.092,0.698
29,2.577,1.158
30,4.855,1
31,1.184,0.94
32,0.978,1.363
33,2.102,1.218
34,1.778,1.77
35,1.538,1.204
36,0.858,0.69
37,1.116,2.225
38,4.316,0.906
39,1.575,1.377
40,1.565,1.938
41,0.52,1.862
42,3.013,2.343
43,3.336,1.247
44,2.456,0.895
45,0.473,0.962
46,2.122,0.693
47,0.902,1.481
48,1.954,1.179
49,0.413,0.548
50,3.162,1.349
51,2.359,0.798
52,1.887,1.083
53,2.733,1.258
54,2.014,1.647
55,6.627,1.084
56,2.496,0.231
57,4.39,0.902
58,1.168,0.821
59,2.8,1.918
60,3.328,1.107
61,2.676,1.058
62,4.019,1.153
63,3.001,0.645
64,1.306,2.376
65,1.408,1.085
66,1.157,1.459
67,0.675,0.626
68,2.361,1.32
69,0.912,1.215
70,3.629,1.521
71,5.29,1.69
72,1.914,0.872
73,6.577,1.136
74,4.007,0.313
75,4.673,0.94
